Complaint Text,Category
nice your app says US delayed by weather Pilot says waiting on fuel One in ur control one not,Customer Service Issue
Ok thank you do you provide complimentary hotel accommodations since Ill have to stay overnight,Cancelled Flight
I was originally trying to share details but the link Jimmy Samartzis Vice President Customer Experience sent me expired,Customer Service Issue
really hr delay gate changes amp you boarded us sent us back up amp boarded us again Wont change our flight Can we go now,Late Flight
I did The AC went on for about minutes before returning to the Mojave Desert PressureCooker HeatTrap,Bad Flight
Nope still no one helped me Giving up on united badservice,Customer Service Issue
when an airline causes the missed connection u would think they would take whatever steps to remedy that screw up,Late Flight
Id thank you but you didnt help taking hours to reply so I get a message in the middle of the night isnt actually helpful,Customer Service Issue
Flight UA is descending into farce and we havent left EWR yet Is this going to get any worse,Late Flight
I was told it was due to be on UA which flies direct to Dublin so why did it go to London This is a complete shambles,Bad Flight
min at EWR baggage claim stillnobags ridiculous,Lost Luggage
On a standby to Denver which has been delayed and a confirmed to Aspen whose flights have been Cancelled Flighted all day confidence,Late Flight
yes at ambut now back on a plane again and delayed again due to baggage loading issue,Late Flight
at what pt do u just Cancelled Flight Finally got stndby pm flight What a day missedWork clientNotHappy,Late Flight
I will do delayed baggage claim when I land Hopefully the bag isnt broken into damaged or lost wc will result in more complaints,Damaged Luggage
done Want me to send a screen shot of the second call which is now at over minutes,Customer Service Issue
this is the line in Denver to rebook due to weather issues DO BETTER,Long Lines
the ones who suffer I understand delays I dont understand trying speed up a process that has been delays to this extent,Late Flight
Cancelled Flighted flights Late Flightr agent claimed she put me on a new flight but then Cancelled Flighted it Coworker got on flight now delayed Now,Cancelled Flight
of urgency but this is ridiculous Your ceo claims to be customer focused yet when delays happen planes sit and customers are,Late Flight
I wasnt asking for a full refund but delaying me hours and giving no reason should be enough to give partial credit,Late Flight
flight was scheduled for its and we havent moved I have never been on a flight where everyone moved without a sense,Bad Flight
go to hell,Flight Booking Problems
since bulkhead seats cannot have bags on floor why dont u reserve ohead space above those seats In B on UA not impressed,Bad Flight
Would be helpful if you could refresh boarding time info on boarding passes for delayed flights,Customer Service Issue
flights so far this year delays including Cancelled Flightations Late Flightst reason crew needed mandatory sleep IN MEXICO,Cancelled Flight
The saga of the bag delay w will there be a reunion or will she be forced to go shopping Stay tuned,Lost Luggage
Flight ORD gate agent tried to prevent me from taking onboard a bag Ive used for years Flight crew was more reasonable,Flight Attendant Complaints
why do you guys split up the charges to credit cards Making it unnecessarily more expensive for people to fly with you guys on pts,Customer Service Issue
it was UA on Feb Point is overselling flights bad Making people wait hr while you kick them off after boarding is worse,Long Lines
weve been here since am and youve Cancelled Flightled our flight twice,Cancelled Flight
no chance I wait in ORD all afternoon for another flight after you screwed me Hold,Cancelled Flight
UA can wait for me Im on the ground trying to get to the gate after we were moved to B This is crap,Late Flight
from MEX NRT dates TBD but Im getting a to USD difference in my quotations through September when compared to MEX BKK,Customer Service Issue
better just keep connection from ORD To FWA that boards in ten minutes open until I get off the plane that just landed an hour Late Flight,Late Flight
is there a United gold number Ive been on hold minutes and think I may be lost in nowhereland Have a gold reservation Help,Customer Service Issue
Oh we are sure its not planned but it occurs absolutely consistently its usually the only YYJ flight thats Cancelled Flightled daily,Cancelled Flight
its not getting any better Id suggest you get a senior manager to this gate then retrain these gate people,Flight Attendant Complaints
already missed connection ugh,Late Flight
How do I formally complain about your customer service handler who misconnected me I was denied boarding amp I now lost my bag Help,Customer Service Issue
flight IAdSat Were on the outdoor track for an hour,Late Flight
SERIOUSLY its NO WiFi on a hr flight from CLESFO Youre the ONLY airline wout WiFiand pls no unwind BS,Bad Flight
u would not be able to rebook me to get home any sooner than a now hr delayed flight linesforever customerservice fail again,Late Flight
what a pointless tweet At least asked me to follow them to try and resolve,Customer Service Issue
thats cool now what,Bad Flight
SERIOUSLY its NO WiFi on a hr flight from CLESFO Youre the ONLY airline without WiFi,Customer Service Issue
b boarding this attendant took his shoe ampsock off at the desk and showed other agents his foot So gross,Flight Attendant Complaints
unitedairlines so is it pm or ORD ABQ I cant even take a walk without missing a change,Late Flight
your SFOYYJ fight is Cancelled Flightled several times each week why even bother,Cancelled Flight
and now while waiting for new pilot the door on plane BROKE why am I global services status on an airline thats unsafe STUNNING,Bad Flight
How do I get reimbursed for hotel and taxis for the Cancelled Flightation,Cancelled Flight
Awesome flight crew on UA re the plane the Jurassic period called and they want their dinosaurplane back,Bad Flight
In United is unable to look up a flight reservation by passenger name at the YYZ checkin counter WOW smh customerservice,Customer Service Issue
been on the phone for over an hour with customer service and they cant figure it out awesome service NOT,Customer Service Issue
last week shanghai to sfo delay hrs bc of engine today sfosea delay to sick pilot no compensation They Do Not Care,Late Flight
only thing confusing me is why I lost priority boarding Im a mileage plus card member,Flight Booking Problems
Were hoping to hear from you actually,Late Flight
shes been rescheduled for today but with the frigid cold being a possible reason for maintenance it could be the same issue day,Late Flight
Its the fact that an international should not be with out her bag and no sense of whats going on other than maintenance,Customer Service Issue
b I contacted you directly and the phone service was Laissez Faire at best The problem isnt a Cancelled Flightled a flight,Customer Service Issue
a shes an international Her phone is on the fritz I had to get to Chicago from nearly hrs away to figure everything out,Late Flight
sorry for the delayed response It was UA Chicago to San Fran Held up for almost an hour on the Tarmac Also lost my bags,Lost Luggage
Okay thanks if you could please update me I was told at the airport someone would call me today but they havent,Customer Service Issue
gate C IAD U released passengers to board wothers deplaning peopleOn bridge while next flight board,Long Lines
Id say most of the public cant extend their vacation a week point is why advertise multiple flights you cant honor,Cancelled Flight
Cancelled Flights flt from EWR No crewTells wife amp yr old to get to NY to catch to YYZ Good customerservice is dead,Cancelled Flight
Now arriving a day and a half Late Flightr than supposed to Lesson of the day dont believe verbal or written confirmations from United,Late Flight
Arriving at the airport hours before departure time and still missing your flight bc you actually dont have an electronic ticket,Flight Attendant Complaints
hour delay Nothing says sorry like a voucher Missing time with family family precioustime,Late Flight
has two whole people trying to schedule a flights worth of missed connections Shameful,Late Flight
is unfriendly screw family that hates kids and moms now waiting on UA pray its better FYVRFN due to agent error and tickt,Flight Attendant Complaints
gate agent at EWR if you are disabled or in a wheel chair its time to board please step STEP UP Lol,Flight Attendant Complaints
it wont helpbeen there done that,Customer Service Issue
forces us to check our baby bag on overbooked flight complains to wife that we need to much for our baby united has no baby meals,Flight Attendant Complaints
today take flight to san francisco refuse to let us board with baby early time we board wont let us take baby carryon bag,Flight Attendant Complaints
in ORD hotel issued to my yr old Tickets needed fixing again another hour and agents lr nightmare still not over,Customer Service Issue
hours to rebook but hours lr the same problem again Arrive at gate stopped cause now infant is sitting in yr old lap,Flight Booking Problems
arrived in YYZ to take our flight to Taiwan Reservation missing our ticket numbers Slow agent Sukhdeep caused us to miss our flt,Customer Service Issue
I guess But what is the excuse for understaffed costumer services people had to deal with lots of angry passengers Weather too,Customer Service Issue
now you have Cancelled Flightled my wife and daughters flt Whats going on Follow me so I can dm details,Cancelled Flight
Has it departed I was awaiting an inbound plane yesterday for three hours and it never arrived Had to stay overnight again,Cancelled Flight
was that English Ill DM though I dont think youll make a plane appear,Customer Service Issue
looks like today will be my th consecutive delayed flight from youdo I win a prize Air why dont you fly to SBA,Late Flight
sitting in a plane with no pilot Thanks waitingonapilot denver siouxfalls whyairtravelsucks,Late Flight
received hotel but no food Also email for miles Last trip had hr delay and miles so less for Cancelled Flightlation,Cancelled Flight
Do we know why UA is delayed x This is getting crazy Ive already had overnight delays UnitedAirlines,Late Flight
and most frustratingly all this delay happened either at the gate or even onboard the aircraft No heads up in advance,Late Flight
my UA on was also delayed by hours stretching my trip way past the midnight extremely exhausting,Late Flight
Ha you rebooked me in to an hr layover amp are robbing me of a night with my family Too Late Flight for that Just fly on time for once,Late Flight
switched to fly united from delta for the past two trips and was very disappointed Now my UA on is delayed by hours,Late Flight
UnitedAirlines how long will be delayed,Late Flight
Why isnt the flight status updated to delayed UA no board,Late Flight
I paid for economy plus and you put me in the last boarding group so I have to gate check my bags too knows better,Flight Attendant Complaints
i travelled from SCL IHA feb the AC on my sit L was ON all night I complaint to FA who never gave me a real answer Help,Bad Flight
you suck hour delay,Late Flight
JH thanks so much for reaching out I was able to get assistance after waiting for minutes,Customer Service Issue
is at a stand still No pilot or paperwork for fix over mins Problem was fixed mins ago Flight is as is delayed,Late Flight
Is it reasonable to wait mins for the bag you made me check because the flight staff couldnt police the overhead bins,Flight Attendant Complaints
Please msg me a for customer service I will have an invoice for my dry cleaning but wont be able take wet clothes to the airport,Customer Service Issue
AN HOUR DELAY BECAUSE YOU CANT PRINT A PIECE OF PAPER,Customer Service Issue
still no response,Customer Service Issue
should have been able to get seat assign without paying more cust sec should have done that for me,Customer Service Issue
There is no reference number Your agent told me to just drive to the airport because I cant reach anyone there to deliver,Customer Service Issue
Slightly better Crew spent a long time searching for better altitude Would have helped to let pax in on why all the sharp drops,Bad Flight
my PQMs and PQDs are no longer showing up correctly in my MileagePlus acct How can I get this fixed,Flight Booking Problems
is the worst Worst reservation policies Worst costumer service Worst worst worst Congrats youre not that bad,Customer Service Issue
I am trying to makechange reservations and getting extremely frustrated Giving up and trying another airline,Flight Booking Problems
I got email update but still no ETA More communicationdetails apology info on compensation rights would go a long way,Customer Service Issue
Late Flight crew into btv last nite delayed todays flt Will miss connection to cun Why do I have to play for hotel tonight in ewr,Late Flight
no they arent I just called to check WORSTCUSTOMERSERVICE,Customer Service Issue
passengers should have been rerouted to match the intended arrival time even if you have to incur cost to put us in other airlines,Late Flight
need to work on your United flierfriendly program At the very least clue in your flight attendants,Customer Service Issue
space Doctors notes and everything And on my first trip they lost my first suitcase Among other issues not pleased with united,Lost Luggage
s new flierfriendly is garbage Just had to cry to get attendant to find a place for my medical supplies with limited overhead,Customer Service Issue
epic fail no jetway been here mins on tarmac,Late Flight
thanks for the link now finally arrived in Brussels h after schedule,Late Flight
nd flight in two weeks that you have lost my bag Taking my K status to neveragain WORSTCUSTOMERSERVICE,Lost Luggage
UA Flight was a nightmare From poor customer servicehaving my confirmed seat given away more issues,Bad Flight
Flight last night was badbusiness Will be a long time before I recommend United to anyone,Bad Flight
Beyond frustrated Sked change no seats earlier departure and double layover Of course only seats are Cust svc no help,Customer Service Issue
working with Lisa J at ORD shes working hard for us but this is still VERY disappointing was on to EWR,Flight Booking Problems
i emailed the customer care via the website form After a long wait Rachelle resolved my issue But Im still irritated w united,Customer Service Issue
flight Cancelled Flightled and the updated one gets me into BWI too Late Flight Id be fine with DCA or IAD just arriving earlier Help,Cancelled Flight
so is the JJ standing for Just Joking I am not finding the humor,Customer Service Issue
I would like to talk to a customer service agent about the service non service I received on my last flight a a week or so a go J,Customer Service Issue
you Cancelled Flight my flight I wait in line to get rebooked when Im at the front you make me go to another gate and I lose my place,Cancelled Flight
it wasnt a comment It was a question But thanks for your copy and paste response,Customer Service Issue
We were supposed to board at They just brought the plane from the hanger WTF did they not know there was a flight LaxEWR,Late Flight
how about starting without the robotic response,Customer Service Issue
You cant control turbulence but you can control customer experience lot of scared people up here,Bad Flight
Currently on UA minutes of the worst turbulence Ive ever experienced and ZERO communication from the flight deck,Bad Flight
yes but its not looking The ticket agent at out terminal dismissed us and we missed a chance at a Miami flight then to DR,Flight Attendant Complaints
I have been told twice my issue has been resolved and twice it has not been And when I write an email it bounces worstservice,Customer Service Issue
flight lets go you look like clowns no one is giving up st class for,Late Flight
Im on hold for the th time waiting for you to resolve and issue with a flight for my yearold son terribleservice NoService,Customer Service Issue
as a freq flyer it makes me sad to see cust needing assistance treated so poorly ServiceFail,Customer Service Issue
day of this Saga maybe theyll finally make it homeIntentional or not it not gonna get them back there vacation days badservice,Late Flight
No thanks Im sick of your companys lousy excuse for customer service Im never flying United again,Customer Service Issue
current hold time AFTER speaking to rep to have tix reissued is mins why so long amp why not make this option available online,Customer Service Issue
I understand ppl make mistakes but dont code something in a way that we cant get reimbursed when its YOUR fault Just blatant LIE,Customer Service Issue
also forgot add our bag is probably going to just sit in New Jersey because of a missed connection,Lost Luggage
jxst if you can out today would be great its our honeymoon and this delay you has put a damper on iy,Late Flight
Not whats been shared by the pilot with passengers,Late Flight
WHERE IS MY RECEIPT I upgraded return leg and months Late Flightr still NO receipt,Flight Booking Problems
how is it that I book a flight with a reserved seat and then go to check in and find out I have no seat WTF,Flight Booking Problems
theyre not actually gate agent was so rude now standing in a line waiting for reFlight Booking Problems missed the only flight to STI awful,Flight Attendant Complaints
Im not sure you can do anything as this has been building up over time Other than promises from your CEO service has gotten worse,Customer Service Issue
wifi on aircraft didnt work entire ORDDCA flight this morning,Bad Flight
Cancelled Flightled my direct flight NewarkBrussels last night now hours behind schedule In EU compensation would be a given but in US,Cancelled Flight
You may dislike delays but I paid you We had an agreement that I paid you and you got me to my destination at a certain time,Late Flight
epicfail on CX as flight from Frankfurt to San Francisco now going to Chicago as flight crew out of hours due to deicing delay,Cancelled Flight
Im aware of the flight details thanks Three hours Late Flight a crew that could not give less of a shit,Late Flight
Making sure your flights arent delayed due to poor maintenance would be a start,Late Flight
hilarious,Customer Service Issue
hahahahaha ya tried that already,Customer Service Issue
Your bag may or may not be at the airport Unfortunately no one at the airport is picking up the phone or responding to messages,Lost Luggage
nope not here You need a little red stamp from the counter Check yourself before you wreck yourself son,Lost Luggage
wasnt trying to Cancelled Flight just trying to change my award ticket same date and place but thanks for sending the link I know the fee,Flight Booking Problems
unhappy with your new mileage rules was my main reason to keep flying united Will have to take my business elsewhere,Flight Booking Problems
you need to retrain your flight attendants Saying there is no more room for carry ons when there actually is is not cool,Flight Attendant Complaints
UA was Cancelled Flightled not delayed ReFlight Booking Problems still miles from home At least acknowledge the Cancelled Flightlation,Cancelled Flight
three delayed flights and missed connections on first class flights and not get any compensation for losing those seats,Late Flight
and after being on hold for an hour the day before to sort it out and being told its fine it should be fine when you arrive to fly,Customer Service Issue
its been almost weeks and still no word from DOT on update of london fare to us cities any updates on your end,Customer Service Issue
well for a start it would be nice if your ticket was actually in the system when you change a flight,Customer Service Issue
Another awful experience and Victoria at the check in desk in STL could not have been more rude and condescending,Flight Attendant Complaints
no they did not want to deliver at my house Had to go to sombrons else house,Lost Luggage
I guess you have to follow me in order for me to send you a DM I tried and it wont send,Lost Luggage
Stopped flying yr ago bc of aggressive policy on carryon listening to pssngrs forced to chknotcomingback,Bad Flight
I have sent a message with a bag tag Have you looked,Lost Luggage
just sent you a message on Facebook how do I follow up a complaint re Missing clothing out of checked baggage,Lost Luggage
why do I check in online if I still have to wait in line for an hour to check in at counter fuckinlame,Flight Attendant Complaints
very poor customer service I WILL think again befor Flight Booking Problems another United flight,Customer Service Issue
an over booked flight to start with and a red eye from lax to bos with no reclining seat lastflightwithyouever,Bad Flight
an efficient layout at kiosksbag drop lines would help as there is no definition to space Additional friendly and helpful staff,Customer Service Issue
of a planes passengers boarding in your Premier groups might be an indication of a broken process,Bad Flight
Cancelled Flightled a flight cause the crew needed sleepBut its totally okay to wake me up at am just to let me know its Cancelled Flightled again,Cancelled Flight
changed my last name for my MileagePlus acct on the site in an hour had me on hold for mins then days amp no change yet,Customer Service Issue
flight landed hours ago more flights CMHIAD last night and still no bagcould have driven it from CMH,Lost Luggage
Do you have a further update on the suitcase today please,Lost Luggage
Maybe be hiring your own ground staff at LAX when multiple gate agents tell you your baggage is loaded you expect it to be HOPELESS,Lost Luggage
I would encourage you to reinterview the sole flight attendant on UAL from BUF to ORD Blatantly not stable Uncomfortable,Flight Attendant Complaints
this is the second time my flights been Cancelled Flightled Like really,Cancelled Flight
really st flt frm IAD IAH is Late Flight amp going via Nashville inconvenience Downgraded but not on ticket,Late Flight
First complaint filed on Feb th over days now and still no responsedisappointed but not surprised,Customer Service Issue
Morning has been delayed by hours Can you get me to Newark for my am meeting,Late Flight
please stop spending mktg on branding ads Use savings to improve cxp hr wait for luggage due to short staff is unacceptable,Long Lines
its am and wife still doesnt have her luggage which was promised by pm and said to be on its way File number DCAM Fail,Lost Luggage
was trying to change a flight online but got an error can you help via DM,Flight Booking Problems
Im glad you didnt mean to but it doesnt excuse your inefficiency Only took min for the bags we were your only arrival flight,Lost Luggage
I attempted to book a ticket times and kept getting a error message I hope you didnt still charge me,Flight Booking Problems
Coach interior on UA looked like it was salvaged from the s Tiny unusable video no power amp lifevests on the floor UA,Bad Flight
Now about two dozen back in line to see a single CSR for reFlight Booking Problems final leg Kiosks on fritz,Long Lines
on plane to Newark now I was checked in as Rebecca Levi My bag is under her name too,Lost Luggage
aaaand hours Late Flightr wont be catching a flight til AMstuck in at airport in a snowstorm with no hotelhows that for patience,Late Flight
ual sucks,Late Flight
not happening Delta took care of us Peace,Cancelled Flight
BUT just rebooked to BOS UGGH now hour bus to WMASS home Could have flown to BDL amp back to DC in same time unitedairlines,Late Flight
you have now lost my bag Never ever flying United again joke,Lost Luggage
appreciate it but changing time by min multiple times hours before flight is just annoying and seems like you have clue,Flight Booking Problems
Missed UA connection due mechanical failure UA uplink prob I will lose in clients Mon How can you compensate,Late Flight
so you jacked out my cousins trip to Portland and then Cancelled Flightled her return trip No more United,Cancelled Flight
after a Cancelled Flighted flight and delays you lost my luggage AGAIN Youre the WORST Disgraceful Awful company horrible service,Lost Luggage
doesnt help the or more passengers that just arrived an hour Late Flight,Long Lines
minutes on tarmac now Thats after hour delay,Late Flight
I am very glad I took care of own rescheduling now that UA from OGG was Cancelled Flightled,Cancelled Flight
Tried filling out the status match form and got hit with an error message How can I tell if it went through,Flight Booking Problems
Is flight going to sit on the tarmac FOREVER,Late Flight
One of your workers refused to give me her name as a reference for my notes Her tone amp language was very unprofessional,Flight Attendant Complaints
thats why I blame your company Because it had every opportunity to do a job and managed to fail each time for just lazy reasons,Customer Service Issue
SF crew lack a lot of customer service LAX employees are a lot better Wonder why,Customer Service Issue
thats why I missed my flight If the flight had been held for minutes I would have made it I watched it pull away from the gate,Flight Attendant Complaints
also didnt ice the frozen metal walkway Wasted minutes because no one knew how to do simple jobs,Flight Attendant Complaints
your ground crew was inept and left a truck sitting on the Tarmac Didnt have a gate agent once we got a gate,Cancelled Flight
after days flight Cancelled Flightled another delay for hours united gave me a food voucher Thats how much they value my time,Cancelled Flight
checked me in through security under the wrong name and given the wrong boarding pass AirlineSecurity,Flight Attendant Complaints
what the hell Flight Delayed since pm finally boarded and now sitting on the tarmac Is this fampampcking plane Ever leaving,Late Flight
Actually the flight was just Cancelled Flightled,Cancelled Flight
I am a loyal Premier Platinum member but the lack of communication was really bad Also i dont see that it has taken off yet,Customer Service Issue
thanks for having changed me Managed to arrive with only hours of delay and exhausted,Late Flight
This is the nd time I was rebooked wdelays and for reasons unreLate Flightd to weather How do I go about requesting a flight voucher,Cancelled Flight
If you consider mins for bags pm on a Sunday night as fast as they can you should reconsider what you think that means,Long Lines
Its the horrible attitude from staff after not just the delay Not the level of service or respect one expects from United,Flight Attendant Complaints
why do you want me to be loyal if dont let me carry on my bag that easily fits in overhead,Flight Attendant Complaints
Ph the pat answers are BS After I was denied boarding it sat at the gate until Your employees totally suck,Flight Attendant Complaints
Over the last week United has provided me with the worst customer service experience of my life Disgusting united,Customer Service Issue
hrs since flight landed and ZERO info on my missing bag rough ETA would be hugely helpful restore some confidence,Lost Luggage
big surprise nogate waiting for our plane Same fucken issues everything I fly you fail worstairlineever,Bad Flight
Not to belabor my pointbut shouldnt I be able to put a laptop bag above my seat Why is it announced to leave it for rollers Thx,Bad Flight
maybemange the airline alittlebetter Arrived at LAX and no GATE howisthatpossible always the same thing wu,Bad Flight
I just checked my united app and the most valuable use of this app has been removed I can no longer see the status of my equipment,Lost Luggage
even after running to gate from your connecting flight your customer service not let us in the plane that was just parked Stranded,Customer Service Issue
Im desperately trying to understand how my girlfriend is being treated with this Cancelled Flightleddelayed flight unacceptable ORD,Cancelled Flight
Nope no more chances Your airline messed up both ways of our trip,Customer Service Issue
Why announce it is for rollers at all If I want to put a coat in there isnt that my choice How about all gate checked Thx,Bad Flight
bags left behind because plane overweight be great if knew as soon as we landed instead letting us wait minutes with no info,Lost Luggage
You are a FampKING joke Your customer service is woeful If your staff tell a passenger that they will do something do it,Customer Service Issue
was a sponsor of the oscars No wonder it was a half hour delayed Oscars,Late Flight
will lose my bag but wont give me free pretzels frauds,Lost Luggage
you are trying to charge me bucks because you lowered your award tickets and I want to get my hard earn points back total BS,Customer Service Issue
does asap mean two hours worth of delay and a return to the terminal to count the luggage a third time gottogetbetter,Late Flight
Apart from being on hold for over hours and having talked to people and the problem still not resolved,Customer Service Issue
typical caned response from UA fix your crappy performing last placedranked airline in this century,Late Flight
customer service is the WORST hanging up on customers intentionally after one hour on hold,Customer Service Issue
was forced to book a flight on a different date than originally planned for a higher price felt like a bait and switch tactic,Flight Booking Problems
tried a different flight IAHMNL flights are advertised for but are not bookable due to partner error,Flight Booking Problems
and was told that its been the case for weeks but is still not resolved,Customer Service Issue
clicked upgrade now and it didnt upgrade What gives,Flight Booking Problems
you advertise the flight and its still on you website and still cant be book spent over hours with united support,Customer Service Issue
tried to book a flight IAHMNL departing returning you are advertising flights for that cant be book,Flight Booking Problems
yes I have and I was calling in regards to speaking to someone about it even further but unfortunately i was just bounced around,Customer Service Issue
Flight from ORD couldnt let me know about this Found out via app minutes before landing Awful flight,Bad Flight
A very disappointing experience plane mech delay and next one didnt wait No sincere apology just told me to complain online,Late Flight
I lost my sunglasses on the flight from OKC to IAH this morning am takeoff is there any way to retrieve them,Lost Luggage
UA Denver to Austin Still on the ground,Late Flight
either your staff or whoever you contract with at PVD is failing you big time tonight,Customer Service Issue
considering it Currently gold on Why should I make the jump for an upcoming flight from SFO to Singapore,Bad Flight
worst flights Ive ever had ground crew ignored our plane made me miss flight and now I have to cover the cost of a hotel DEN,Bad Flight
it was me who had the problem won flight ua I called and rebooked myself found my own hotel and taxi,Flight Booking Problems
bull crap I spent on a recent trip Thats not small change I got AA miles Would have only been UA,Flight Booking Problems
yes I did Terrible service from your courrier,Flight Attendant Complaints
compensate us for new clothes bet you wont,Lost Luggage
were stuck at OGG looks like flight will be Cancelled Flightled Can you help,Cancelled Flight
yea they been booked on next avalible flights since sat am And when time comes no plane nd day of work missed hotelliving,Late Flight
currently crying I wanted to ski tomorrow but prolly not Just a boy tryna fulfill his dreams,Lost Luggage
I tried the online tracking and they said something like attempting to locate luggage,Lost Luggage
your worker told us not to call because wed be talking to someone in Thailand,Lost Luggage
Going on days tomorrow and I still havent received my bag from my flight to Toronto Would love to see some seriousness here,Lost Luggage
there is a disconnect between your PR group and the actual business strategy and employee attitude on the ground liars united,Customer Service Issue
here we go again of segments SFONew York RT were delayed OVER hrs each Why do you suck so BADMaybe another line of bus,Late Flight
you really screwed up dealing mechanical failure from Maui to San Francisco Poor communication bad help in getting connections,Late Flight
if you dont like delayed bags why do you let it happen so much,Lost Luggage
the delay is due to customer service for people What about the DISSERVICE you provided for FlightFail HourDelay,Customer Service Issue
but again UNITED DOESNT GIVE SHITS ABOUT THEIR CUSTOMERS,Customer Service Issue
its funny how none of ur tweets back are helpful what I want is to read ya well change that so our customers get better service,Customer Service Issue
really needs to get its act together Really disappointed in our change of flight delayed flights etc,Late Flight
rebooked to OMA miles from my destination Spotty customer service I get staff stressors but come on this is your business,Customer Service Issue
I cant find any Late Flight evening flights Are there other airports that would have an overnight flight,Flight Booking Problems
Thanks for the vague canned response that doesnt address the issue,Customer Service Issue
thats not good enough for all of us affected by the awful organization and timing and have now been set back,Late Flight
Otis in the baggage claim by Bay not at all happy but not nearly as pissed,Flight Attendant Complaints
Why is my time less important to you StrandUsInDenver HourAndTenMinuteDelay FlightFail,Late Flight
airlines you kidding Bagage lost this morning from ny to Washington and still no trace badservice,Lost Luggage
I did It took about an hour and a half though,Lost Luggage
Why have you never held a plane for me HourDelay MultipleDoorOpeningAndClosing DangerOfGettingSnowedIn,Late Flight
i did but i got nothing from it Just dissapointment,Customer Service Issue
WHERE IS MY FUCKING BAG Where the fuck is my fucking bag TELL ME NOW OR GIVE ME A NUMBER TO CALL A HUMAN SANM,Lost Luggage
Made to the gate at and they wouldnt let us on,Late Flight
You suck Flight delayed equipment probs again Miss connection by minutes and you wont let us on even though its at the gate,Late Flight
now going in min waiting for other plane to vacate gate findanothergate,Late Flight
Flight is hrs delayed so far bc of Late Flight crew Now we are literally waiting while they have dinner acc to honest gate agent,Late Flight
many people on Ua are going to miss connections due to long wait time in SFO tarmac Seriously u cant find an empty gate,Late Flight
Youre trying to solve problem of your own making Charging for checked luggage forces checking at gate Brilliant,Customer Service Issue
weve been waiting min for a gate at SFO Yet so many of them are free Your excellence in operational efficiency is showing,Long Lines
delayed due to customer service Huh,Customer Service Issue
what about the poor customer service at checkin at Kansas KCI Thats it,Customer Service Issue
except all of that delayed the flight anyway,Late Flight
I sent a message Its very irresponsible that my suitcase cannot be found This is truly worst service ever fedup disastrous,Lost Luggage
landed in den on time stuck waiting for gate for min Maybe an update would be a good idea capt,Late Flight
wanted to point out that not one United crew has been sympathetic Questions unanswered MileagePlus is starting to look like a joke,Flight Attendant Complaints
can we get an explanation on why UA from So Paulo to Houston has been delayed Now were hearing from crew about Cancelled Flightlations,Late Flight
Why was flight EWR to MCO Cancelled Flightled for tomorrow and what do I do to rebook Asking for a relative,Cancelled Flight
wife landed in DC hrs ago luggage did not was told it would B deliveredHotel by pm Its now pm no luggage UA,Lost Luggage
is so cheap they couldnt afford to run the AC on UA They took pressure cooker to a new level Cheap WorstAirline,Bad Flight
why is it that Sundays when my husband travels to Chicago hes stuck at Tarmac amp misses connecting flight always,Late Flight
Well I can tell you that your customer service at RDU airport is horrific but is exception at OHare in Chicago,Customer Service Issue
on UA tonight and told delayed due to Late Flight crew No idea where crew coming from your staff unhelpful Any ideas,Late Flight
take a look at status of sitting at ORD This aint cool yo,Late Flight
I didnt have time to take my wet clothessuit back to the airport and wasnt going to pay for another cab to do so,Damaged Luggage
didnt realize my bag contents were wet until I got to my hotel Sent my suitshirts out to be dry cleaned Mtgs start tomorrow,Damaged Luggage
You load our plane at ORD knowing pilots are hrs Late Flight then discover plane needs to be fueled WTF united incompetent,Late Flight
resolved and im sick and tired of waiting on you I want my refund and Id like to speak to someone about it,Customer Service Issue
Im really glad I just waited on the phone for over an hour to be sent to a voicemail Your customer service sucks Nothing has been,Customer Service Issue
you just caused a riot on the airplane Never seen anything like this,Bad Flight
Instead of sending inaccurate emails about delay every min just say we will get you there when we get you there,Customer Service Issue
so glad Ive been waiting for hour and minutes and Ive been transferred times without resolving anything Worst service ever,Customer Service Issue
we still need help Hung up on twice Customer service rep said there is no way to help between the gate rep and phone rep,Customer Service Issue
lol too little too Late Flight,Customer Service Issue
yes Bags came hr after I arrived at baggage claim Awful experience on the ground at BHM,Lost Luggage
your delay is due to your own making We have now been back to the gate multiple times Maybe take accountability,Late Flight
Why do I have to give up my leg room so these people not in my row can fill the bin Pls start charging,Customer Service Issue
please tell CLT flight needs a gate Waiting now for mins,Late Flight
Why did you load us in this flying sardine can if you knew the pilots were hours Late Flight incompetent beyond belief,Late Flight
your seats are god awful,Bad Flight
good try but got her here safer and sooner,Customer Service Issue
hour min delay so far Would love to round to hours to just go to bed,Late Flight
Im on UA and my direct tv isnt working How do I avoid this in future,Bad Flight
is truly the drunk uncle of boarding Dont believe gate agent that overhead is full dont reserve aisle,Long Lines
any options to cos tonight Doesnt look like UA will make it in time for UA Should I reserve a hotel room,Late Flight
Appreciated but in this case we waited an extra minutes for a lost mechanic to fax the log Faxlike in the s,Late Flight
customer service sucks They hang up after waiting an hour and talking for minutes,Customer Service Issue
JP DM message who Cant get a DM through to,Customer Service Issue
Missed KTM flight due to ur Cancelled Flightlation Mike supervisor disgusting Now day Late Flight No apology or upgrade offer to LHR from ORD,Cancelled Flight
always happy to start my life with my new wife with a hr travel delay due to MAINTENECE and it would appear incompetence,Late Flight
